I,date,IXIC.Close,BAM
1193,9/29/2014,4505.850098,4.51
1194,9/30/2014,4493.390137,4.4
1195,10/1/2014,4422.089844,4.45
1196,10/2/2014,4430.200195,4.42
1197,10/3/2014,4475.620117,4.29
1198,10/6/2014,4454.799805,4.26
1199,10/7/2014,4385.200195,4.37
1200,10/8/2014,4468.589844,4.48
1201,10/9/2014,4378.339844,4.52
1202,10/10/2014,4276.240234,4.66
1203,10/13/2014,4213.660156,4.66
1204,10/14/2014,4227.169922,4.83
1205,10/15/2014,4215.319824,5.08
1206,10/16/2014,4217.390137,4.98
1207,10/17/2014,4258.439941,4.68
1208,10/20/2014,4316.069824,4.68
1209,10/21/2014,4419.47998,4.5
1210,10/22/2014,4382.850098,4.44
1211,10/23/2014,4452.790039,4.38
1212,10/24/2014,4483.720215,4.38
1213,10/27/2014,4485.930176,4.41
1214,10/28/2014,4564.290039,4.39
1215,10/29/2014,4549.22998,4.32
1216,10/30/2014,4566.140137,4.35
1217,10/31/2014,4630.740234,4.3
1218,11/3/2014,4638.910156,4.29
1219,11/4/2014,4623.640137,4.35
1220,11/5/2014,4620.720215,4.32
1221,11/6/2014,4638.470215,4.3
1222,11/7/2014,4632.529785,4.36
1223,11/10/2014,4651.620117,4.32
1224,11/11/2014,4660.560059,4.32
1225,11/12/2014,4675.140137,4.33
1226,11/13/2014,4680.140137,4.37
1227,11/14/2014,4688.540039,4.43
1228,11/17/2014,4671,4.46
1229,11/18/2014,4702.439941,4.53
1230,11/19/2014,4675.709961,4.57
1231,11/20/2014,4701.870117,4.61
1232,11/21/2014,4712.970215,4.54
1233,11/24/2014,4754.890137,4.54
1234,11/25/2014,4758.25,4.54
1235,11/26/2014,4787.319824,4.56
1236,11/28/2014,4791.629883,4.64
1237,12/1/2014,4727.350098,4.82
1238,12/2/2014,4755.810059,4.82
1239,12/3/2014,4774.470215,4.81
1240,12/4/2014,4769.439941,4.83
1241,12/5/2014,4780.759766,4.77
1242,12/8/2014,4740.689941,4.87
1243,12/9/2014,4766.470215,5.06
1244,12/10/2014,4684.02002,5.21
1245,12/11/2014,4708.160156,5.25
1246,12/12/2014,4653.600098,5.47
1247,12/15/2014,4605.160156,5.52
1248,12/16/2014,4547.830078,5.71
1249,12/17/2014,4644.310059,5.48
1250,12/18/2014,4748.399902,5.15
1251,12/19/2014,4765.379883,5.09
1252,12/22/2014,4781.419922,5.03
1253,12/23/2014,4765.419922,4.94
1254,12/24/2014,4773.470215,4.93
1255,12/26/2014,4806.859863,4.93
1256,12/29/2014,4806.910156,4.96
1257,12/30/2014,4777.439941,4.98
1258,12/31/2014,4736.049805,5.04
1259,1/2/2015,4726.810059,5.08
1260,1/5/2015,4652.569824,5.21
1261,1/6/2015,4592.740234,5.37
1262,1/7/2015,4650.470215,5.31
1263,1/8/2015,4736.189941,5.17
1264,1/9/2015,4704.069824,5.2
1265,1/12/2015,4664.709961,5.27
1266,1/13/2015,4661.5,5.28
1267,1/14/2015,4639.319824,5.39
1268,1/15/2015,4570.819824,5.42
1269,1/16/2015,4634.379883,5.41
1270,1/20/2015,4654.850098,5.39
1271,1/21/2015,4667.419922,5.36
1272,1/22/2015,4750.399902,5.27
1273,1/23/2015,4757.879883,5.3
1274,1/26/2015,4771.759766,5.26
1275,1/27/2015,4681.5,5.29
1276,1/28/2015,4637.990234,5.31
1277,1/29/2015,4683.410156,5.28
1278,1/30/2015,4635.240234,5.37
1279,2/2/2015,4676.689941,5.26
1280,2/3/2015,4727.740234,5.11
1281,2/4/2015,4716.700195,5.05
1282,2/5/2015,4765.100098,4.99
1283,2/6/2015,4744.399902,4.78
1284,2/9/2015,4726.009766,4.8
1285,2/10/2015,4787.640137,4.75
1286,2/11/2015,4801.180176,4.76
1287,2/12/2015,4857.609863,4.74
1288,2/13/2015,4893.839844,4.71
1289,2/17/2015,4899.27002,4.57
1290,2/18/2015,4906.359863,4.62
1291,2/19/2015,4924.700195,4.58
1292,2/20/2015,4955.970215,4.53
1293,2/23/2015,4960.970215,4.56
1294,2/24/2015,4968.120117,4.58
1295,2/25/2015,4967.140137,4.54
1296,2/26/2015,4987.890137,4.43
1297,2/27/2015,4963.529785,4.43
1298,3/2/2015,5008.100098,4.38
1299,3/3/2015,4979.899902,4.38
1300,3/4/2015,4967.140137,4.44
1301,3/5/2015,4982.810059,4.46
1302,3/6/2015,4927.370117,4.42
1303,3/9/2015,4942.439941,4.51
1304,3/10/2015,4859.790039,4.66
1305,3/11/2015,4849.939941,4.61
1306,3/12/2015,4893.290039,4.62
1307,3/13/2015,4871.759766,4.68
1308,3/16/2015,4929.509766,4.72
1309,3/17/2015,4937.430176,4.79
1310,3/18/2015,4982.830078,4.91
1311,3/19/2015,4992.379883,4.79
1312,3/20/2015,5026.419922,4.81
1313,3/23/2015,5010.970215,4.82
1314,3/24/2015,4994.72998,4.81
1315,3/25/2015,4876.52002,4.76
1316,3/26/2015,4863.359863,4.74
1317,3/27/2015,4891.220215,4.76
1318,3/30/2015,4947.439941,4.73
1319,3/31/2015,4900.879883,4.82
1320,4/1/2015,4880.22998,4.86
1321,4/2/2015,4886.939941,4.82
1322,4/6/2015,4917.319824,4.8
1323,4/7/2015,4910.22998,4.72
1324,4/8/2015,4950.819824,4.67
1325,4/9/2015,4974.560059,4.62
1326,4/10/2015,4995.97998,4.6
1327,4/13/2015,4988.25,4.6
1328,4/14/2015,4977.290039,4.62
1329,4/15/2015,5011.02002,4.58
1330,4/16/2015,5007.790039,4.61
1331,4/17/2015,4931.810059,4.66
1332,4/20/2015,4994.600098,4.6
1333,4/21/2015,5014.100098,4.57
1334,4/22/2015,5035.169922,4.53
1335,4/23/2015,5056.060059,4.55
1336,4/24/2015,5092.080078,4.56
1337,4/27/2015,5060.25,4.55
1338,4/28/2015,5055.419922,4.52
